angle	levee	 
 0.00	     0.000	     0.000	     0.000
    6.00	     0.100	     6.000	     0.100
   12.00	     0.400	    12.000	     0.400
   18.00	     0.900	    18.000	     0.900
   24.00	     1.600	    24.000	     1.600
   30.00	     2.500	    30.000	     2.500
   36.00	     3.600	    36.000	     3.600
   42.00	     4.900	    42.000	     4.900
   48.00	     6.400	    48.000	     6.400
   54.00	     8.100	    54.000	     8.100
   60.00	    10.000	    60.000	    10.000
   66.00	    11.900	    66.000	    11.900
   72.00	    13.600	    72.000	    13.600
   78.00	    15.100	    78.000	    15.100
   84.00	    16.400	    84.000	    16.400
   90.00	    17.500	    90.000	    17.500
   96.00	    18.400	    96.000	    18.400
  102.00	    19.100	   102.000	    19.100
  108.00	    19.600	   108.000	    19.600
  114.00	    19.900	   114.000	    19.900
  120.00	    20.000	   120.000	    20.000
  124.00	    20.000	   124.000	    20.000
  128.00	    20.000	   128.000	    20.000
  132.00	    20.000	   132.000	    20.000
  136.00	    20.000	   136.000	    20.000
  140.00	    20.000	   140.000	    20.000
  144.00	    20.000	   144.000	    20.000
  148.00	    20.000	   148.000	    20.000
  152.00	    20.000	   152.000	    20.000
  156.00	    20.000	   156.000	    20.000
  160.00	    20.000	   160.000	    20.000
  166.00	    19.900	   166.000	    19.900
  172.00	    19.600	   172.000	    19.600
  178.00	    19.100	   178.000	    19.100
  184.00	    18.400	   184.000	    18.400
  190.00	    17.500	   190.000	    17.500
  196.00	    16.400	   196.000	    16.400
  202.00	    15.100	   202.000	    15.100
  208.00	    13.600	   208.000	    13.600
  214.00	    11.900	   214.000	    11.900
  220.00	    10.000	   220.000	    10.000
  226.00	     8.100	   226.000	     8.100
  232.00	     6.400	   232.000	     6.400
  238.00	     4.900	   238.000	     4.900
  244.00	     3.600	   244.000	     3.600
  250.00	     2.500	   250.000	     2.500
  256.00	     1.600	   256.000	     1.600
  262.00	     0.900	   262.000	     0.900
  268.00	     0.400	   268.000	     0.400
  274.00	     0.100	   274.000	     0.100
  280.00	     0.000	   280.000	     0.000
  288.00	     0.000	   288.000	     0.000
  296.00	     0.000	   296.000	     0.000
  304.00	     0.000	   304.000	     0.000
  312.00	     0.000	   312.000	     0.000
  320.00	     0.000	   320.000	     0.000
  328.00	     0.000	   328.000	     0.000
  336.00	     0.000	   336.000	     0.000
  344.00	     0.000	   344.000	     0.000
  352.00	     0.000	   352.000	     0.000
  360.00	     0.000	   360.000	     0.000
